"Coptis"
"Platycodon"
"Dolichos"
"Eleutherococcus senticosus"
"Exsiccated gypsum"
"Clove"
"Cinnamomum sieboldii"
"Nux vomica"
"Pyrethrum"
"Aralia"
"Lilium"
"Pogostemon"
"Donkey glue"
"Cherry"
"Artemisia"
"Aluminum silicate hydratesilicon dioxide"
"Trichosanthes"
"Citrus"
"Crataegus"
"Peucedanum"
"Cicada slough"
"Bamboo"
"Arisaema"
"Quercus"
"Leonurus"
"Longan"
"Persimmon"
"Scrophularia"
"Aster"
"Myrobalan"
"Lonicera"
"Adenophora"
"Earthworm"
"Acorus gramineus"
"Areca"
"Myrica rubra"
"Shrub chaste tree"
"Chaenomeles sinensis"
"Isodon"
"Aralia elatabark"
"Nandina"
"Prunus mume"
"Nutmeg"
"chestnut"
"Sophora japoinca"
"Sophora subprostrata"
"Ligusticum sinese"
"Perilla"
"Softturtle carapace"
"Osmorhiza"
"Senna pods"
"Angelica pubescens"
"Belladonna"
"Digitalis"
"Podophyllum"
"Rauwolfia serpentina"
"Opium"
"Tolu"
"Almond"
"Anise"
"Caraway"
"Cardamom"
"Tolu"
"Lemon"
"Peppermint"
"Rose"
"Catharsius molossus"
"Basil"
"Bay"
"Black pepper"
"Rosewood"
"Plantago"
"Cinnamon"
"Koi"
"Brown rice"
"Sesame"
"Tritici"
"Theae folium"
"Malt"
"Aconitum carmichaeli mother"
"Cinchona"
"Passiflora"
"Camptotheca acuminata"
"Stephaura cepharantha Hayataalkaloid"
"Rosskastanien"
"Nardostachytis"
"Turtle"
"Dianthus"
"Melia"
"Citron"
"Gecko"
"Polygonum cuspidatum"
"Coriandrum sativum"
"Walnut"
"Gallnut"
"Trogopterus"
"Fenugreek"
"Cynomorium"
"Sparganium"
"Quisqualis"
"Magnetite"
"Musk"
"Medicated leaven"
"Gentiana macrophylla"
"Agarwood"
"Prepared soybean"
"Pyrrosia"
"Dendrobium"
"Elder"
"Madder"
"Inula"
"Mantidae mantis egg-case"
"Star anise"
"Salvia"
"Sanguisorbae"
"Dayflower"
"Descurainia"
"Agglomerative substanceBamboo"
"Sichuan-pepper"
"Male seal sex organ"
"Hippocampus"
"Codonopsis"
"Common rush"
"Plant worm"
"Dodder"
"Oriental arborvitae"
"Dictamnusbark"
"Morinda"
"Chinese lobelia"
"Dioscorea hypoglauca"
"Dioscorea tokoro"
"Indian long pepper"
"Stiff silkworm"
"Sandalwood"
"Ampelopsis"
"Boneset"
"Typha"
"Myrrh"
"Blackberry lily"
"Clove"
"Curculigo"
"Melia"
"Valerian"
"Deer velvet"
"Chinese angelica"
"Chinese cnidium"
"German chamomile"
"Lycium"
"Dipsacus asperoides"
"Brassica juncea"
"Hypericum"
"Hematite"
"Inula"
"Corn silk"
"Psoralea"
"Glechoma hederacea"
"Cervus male sex organ"
"Sargassum"
"Cowberry"
"Black pepper"
"Rhinoceros unicornis"
"Rhinoceros sondaicus horn"
"Ligustrum lucidum"
"citrus unshiu"
"Viscum"
"Xanthium"
"soybeans"
"Cistanche"
"Boswelliasubstance"
"Amomi rotundi fructus"
"Tussilago farfarabud"
"Taraxacum"
"Allium"
"Hibiscus syriacus"
"Actinidia polygama gall"
"Saxifraga stolonifera"
"Tremolite"
"Polygonati odorati"
"Kaempferia galanga"
"Trachycarpus fortunei"
"Artemisia annuaand"
"Haliotis"
"Agrimonia"
"Albizzia"
"Aconitum japonicum"
"Aristolochia"
"Speranskia"
"Isatis"
"Indigo"
"Kochia scoparia"
"Liquidambar formosana"
"Morus"
"Nelumbo"
"Croton"
"Cynanchum"
"Daphnebud"
"Dioscorea bulbifera"
"Panax notoginseng"
"Patrinia villosa"
"Periploca sepiumbark"
"Picrorhiza"
"Platycladus orientalis"
"Manis pentadactyla cuirass"
"Pulsatillae"
"Punica granatumpeel"
"Raphanus sativus"
"Rhus verniciflua tree"
"Rosa laevigata"
"Daemonorops draco"
"Eclipta prostrata"
"Elsholtzia"
"Equisetum"
"Erythrina indica"
"Euphorbia kansui"
"Ganoderma lucidumbody"
"Scutellaria barbata"
"Vaccaria pyramidata"
"Phytolacca esculenta"
"Euphorbia helioscopiaand"
"Morus alba"
"Tetrapanax papyriferus"
"Veratrum"
"Curare"
"Coca"
"Colchicum"
"Santonica"
"Camphor tree"
"Jaborandi"
"Yew"
"Madagascar periwinkle"
"Plau-noi"
"Panax quinquefolius"
"Anemone altaica"
"Knoxia valerianoides"
"Pleione"
"Homalomena"
"Semiaquilegia adoxoides"
"Pseudostellaria heterophylla"
"Bletilla striata"
"Cynanchumand"
"Stemona"
"Cibotium barometz"
"Phragmites communisand"
"Tinospora"
"Boehmeria nivea"
"Anemone raddeana"
"changium smyrnioides"
"Stellaria dichotoma"
"Alocasia odora"
"Drynaria"
"Dryopteris"
"Athyrium"
"Dichroa febrifuga"
"Allium chinense"
"Echinops latifolius"
"Physalis alkekengiand"
"Cirsium"
"Hydnocarpus anthelmintica"
"Aristolochia"
"Gleditsia sinensis"
"Anethum graveolens"
"Momordica cochinchinensis"
"Astragalus complanatus"
"Alpinia galanga"
"Amomum tsaoko"
"Alpinia katsumadai"
"Litchi chinensis"
"Citrus medicapeel"
"Prunus humilis"
"Prunus japonica"
"Euphorbia lathyris"
"Allium tuberosum"
"Celosia argentea"
"Linum usitatissimum"
"Hovenia dulcisor"
"Sterculia"
"Piper cubeba"
"Vigna angularis"
"Euryale ferox"
"Ricinus communis"
"Firmiana platanifolia"
"Broussonetia papyrifera"
"Daucus carota"
"Morus alba"
"Torreya grandis"
"Akebia"
"Abutilon"
"Prinsepia uniflora putamen"
"Oroxylum indicum"
"Iris pallasii"
"Momordica grosvenori"
"Viola harb"
"Verbena officinalis"
"Stellaria media"
"Portulaca oleracea"
"Conandron ramondioides"
"Ottelia alismoides"
"Tetragoniae"
"Desmodium styracifolium"
"Lycopus lucidus"
"Potentilla discolor"
"Selaginella tamariscina"
"Spirodela polyrrhiza"
"Pyrola"
"Lysimachia foenum-graecum"
"Polygonum"
"Abrus cantoniensis"
"Lepisorus"
"Ajugae"
"Photinia serrulata"
"Vaccinium vitis-idaea"
"Lophatherum gracile"
"Quercus salicina"
"Celosiacluster"
"Pueraria"
"Prunus mumebud"
"Chimonanthus praecoxbud"
"Eriocaulon"
"Buddleja officinalisbudinflorescence"
"Rosa rugosabud"
"Campsis grandiflora"
"Nelumbo nucifera stamen"
"Punica granatumorbark"
"Pseudolarix kaempferi"
"Piper wallichiiwith"
"Spatholobus suberectus"
"Mucuna birdwoodiana"
"Gleditsia sinensis"
"Aralia elata"
"tree"
"andbark"
"Ficus pumilaand"
"Ferula assa-foetida"
"Liquidambar orientalis"
"Pistacia khinjukresin"
"Grinded pasteUlmus macrocarpia keywithand"
"Quercus infectoria galls"
"Cicada flammata"
"Polyporus mylittae"
"Ganoderma applanatumbody"
"Leech"
"Leporidae"
"Scorpion"
"Bat"
"Saiga tatarica horn"
"Viperidae Agkistrodon halys organ"
"Agkistrodon acutus"
"Colubridae slough"
"Solegnathus hardwickii"
"Ambergris"
"Eretmochelys imbricata carapace"
"Cuttlefish oracle bones"
"Cypraeidae"
"Pearl"
"Human placenta"
"Chicken stomach lining"
"Tiger skeleton"
"Blattidae"
"Centipede"
"Silkworm"
"Huechys"
"Hematophagous tabanid"
"Tiger beetle"
"Chrysomya megacephala"
"Holotrichia"
"Polistes"
"VespaVespula nest"
"Protohermes grandis"
"Stink bug"
"Xylocopidae"
"Zinc ore"
"Fluorite"
"Mica mineral clay"
"Limonit"
"Orpiment"
"Realgar"
"Calcite"
"Pumice stone"
"Porites nigrescens skeleton"
"Chlorite schist"
"Loess"
"Dryobalanops aromatica"
"Coriandrum sativum"
"Jasmine"
"Neroli"
"Lavender"
"Lavandin"
"Geranium"
"Citronella"
"Lime"
"Bergamot"
"Grapefruit"
"Amyris"
"Bitter orange"
"Cananga"
"Magnolia salicifoliabud"
"Magnolia denudatabud"
"Cinnamomum zeylanicum"
"Cylindrical Cinnamon"
"Bupleurum chinense"
"Bupleurum scorzonerifolium"
"ofcherry"
"Bupleurum longiradiatum"
"aconitum carmicha"
"aconitum carmicha"
"aconitum carmicha"
"Aconitum carmichael"
"Aconitum"
"Aconitum triphyllum"
"aconitum japonicum"
"Aconitum coreanum"
"Typhonium giganteum"
"Dianthus"
"Dioscorea septemloba"
"Dioscorea futschauensis"
"Arabian myrrh"
"Bissabol myrrh"
"Brassica hirta"
"Brassica nigra"
"Rhinoceros bicornis"
"Rhinoceros simus"
"Rhinoceros sumatrensis horn"
"Liquidambar formosanaresin"
"Thlaspi arvense"
"Sonchus brachyotus"
"Sonchus oleraceus"
"Ixeris chinensis"
"Paraixeris denticulata"
"Acanthopanax gracilistylusbark"
"Acanthopanax giraldii"
"Euphorbia pekinensis"
"Tulipa edulis"
"Asarum sagittarioides"
"Woodwardia unigemmata"
"Woodwardia japonica"
"Changium smyrnioides"
"Arenaria juncea"
"Silene fortunei"
"Silene jenisensis"
"Gypsophila oldhamiana"
"Stellera chamaejasme"
"Euphorbia"
"Woodwardia"
"Osmunda"
"Struthiopteris niponica"
"Sphaeropteris lepifera"
"Orixa japonica"
"Mussaenda"
"Clerodendrum trichotomum"
"Clerodendrum canescens"
"Clerodendrum yunnanense"
"Hydrangea"
"Berberis"
"Dioscorea nipponica"
"Scilla scilloides"
"Allium macrostemon"
"Rhaponticum uniflorum"
"Echinops grijisii"
"Breea"
"Cirsium"
"Ixeris"
"Cirsium"
"Gleditsia sinensis"
"Citrus medica"
"Prunus tomentosa"
"Prunus triloba"
"Torilis japonica"
"Carpesium abrotanoides"
"Lappula echinata"
"Amblytropis multifloraor"
"Corydalis bungeana"
"Gentiana lourerii"
"Polygala japonica"
"Osbeckia chinensis"
"Pyrola"
"Ocimum"
"Euphorbia"
"Rhododendron"
"Phyllostachys"
"Arenaria serpyllifolia"
"Eriocaulon"
"Millettia nitida"
"Millettia dielsiana"
"Sargentodoxa cuneata"
"Platypleura kaempferi"
"Monodon monoceros maxillary incisor"
"Bungarus multicinctus"
"Elaphe moellendorffi"
"Zaocys dhumnades"
"Colubridae slough"
"Syngnathoides biaculeatus"
"Syngnathus acus"
"Unionidae"
"Cinnamon"
"Curcuma longa"
"Curcuma wenyujin"
"Curcuma wenyujin"
"Curcuma"
"Curcuma aeruginosa"
"Cedarleaf"
"Cedarwood"
"Curcuma kwangsiensis"
"Clary sage"
"Allolobophora caliginosa"
"Coriander"
"Chaenomeles speciosa"
"Galbanum"
"Ginger"
"Menispermum dauricum"
"Indigofera"
"Ardisia crenata"
"Juniper"
"Ardisia hortorum"
"Ardisia mamillata"
"Labdanum"
"panax ginseng"
"Red ginseng"
"Bolboschoenus fluviatilis"
"Ligusticum sinense"
"Ligusticum tenuissimumand"
"Myrrh"
"Rheum officinale"
"Rheum coreanum"
"Nutmeg"
"Oakmoss"
"Olibanum"
"Chrysanthemum"
"Rheum undulatum"
"Rheum rhaponticum"
"Rheum emodi"
"Rheum spiciforme"
"Origanum"
"Rheum compactum"
"Rheum franzenbachii"
"Rheum collinianum"
"Achyranthes fauriei"
"Cyathula officinalis"
"Cyathula capitata"
"Achyranthes obtusifolia"
"Achyranthes rubrofusca"
"Achyranthes longifolia"
"Achyranthes aspera"
"Achyranthes longifolia"
"Achyranthes bidentata"
"Cucubalus baccifer"
"Strobilanthes nemorosus"
"Cimicifuga"
"Serratula chinensis"
"Astilbe"
"Vladimiria souliei"
"Trichosanthes"
"Phlomis umbrosa"
"Phlomis maximowiczii"
"Lamium album"
"Cirsium"
"White pepper"
"Artemisia capillaris"
"Artemisia scopariaand"
"Leonurus"
"Kochia sieversiana"
"Chenopodium album"
"Chenopodium ficifolium"
"Melilotus suaveolens"
"Talc"
"Anise"
"Star anise"
"Cedarwood"
"Citronella"
"Olibanum"
"Orris"
"Osmanthus"
"Palmarosa"
"Patchouli"
"Petitgrain bigarade"
"Pimento berry"
"Pine"
"Roman chamomile"
"Rosemary"
"Sage"
"Sandalwood"
"Spearmint"
"Tagetes"
"Thyme"
"Tobacco"
"Cinnamon"
"Turpentine"
"Vetiver"
"Wintergreen"
"Ylang Ylang"
"Sage"
"Dracaena"
"Hypericum ascyron"
"Potentilla paradoxa"
"Wedelia prostrata"
"Wedelia chinensis"
"Zanthoxylum ailanthoides"
"Kalopanax pictus"
"Bombax malabaricum"
"Pterocarpus"
"Silene"
"Melastoma candidumand"
"Glochidion"
"Dendrobium chrysanthum"
"Eupatorium fortunei"
"Penthorum chinense"
"Eupatorium"
"Potentilla chinensis"
"Artichoke"
"Iceland moss"
"Arnica"
"Angelica"
"Ginkgo"
"Evening promrose"
"Witch hazel"
"Mallow"
"Echinacea"
"Elder"
"Oats"
"Olive"
"Orange"
"Garlic"
"Kava"
"Guarana"
"Marigold"
"Cat's claw"
"Java tea"
"Cranberry"
"Grape"
"Goldenseal"
"Coltsfoot"
"Comfrey"
"Psylla"
"German chamomile"
"Horsetail"
"Sage"
"St. John's wort"
"Saw palmetto"
"Soy bean"
"Thyme"
"Dandelion"
"Chaste berry"
"Ginseng"
"Tea tree"
"Devil's claw"
"Neem"
"Bitter gourd"
"Nettle"
"Birch"
"Burdock"
"Red sorrel"
"Pau D'Arco"
"Butterbur"
"Passionflower"
"Pumpkin"
"Heath"
"Bilberry"
"Feverfew"
"Bladderwrack"
"Black currant"
"Black cohosh"
"Primrosa"
"Peppermint"
"Lemon verbena"
"Horse chestnut"
"Hawthorn"
"Willow"
"Maitake"
"Maca"
"Marshmallow"
"Paraguay tea"
"Mulberry"
"Mullein"
"Mistletoe"
"Milk thistle"
"Melilot"
"Yarrow"
"Eucalayptus"
"Raspberry"
"Lavender"
"Linden"
"Rooibos"
"Lemon grass"
"Lemon balm"
"Rose"
"Rose hip"
"Rosemary"
"Pelargonium"
"Sangre de Dragon"
"Raspberry"
"Erionite"
"Grapefruit"
"Alcoholic beverage"
"Tobacco"
"Milk"
"Coffee"
"Aralia"
"Coixwith involucre"
"Hop strobile"
"Boschniakia"
"Japanese yew"
"Civet"
"Canis male sex organ"
"Lycoris radiata"
"Hedysarum"
"Dextran sulfate cellulose"
"Tryptophan-linked polyvinyl alcohol"
"Polyethylene terephthalate"
"Chlorella"
"Natto"
"Aojiru"
"Thorn apple"
"Chicken liver"
"Allium tuberosum"
"Allume"
"Foxtail millet"
"Trichosanthes"
"Dried egg yolk powder"
"Dark male donkey sex organ"
